CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2019 Score,Freedom situation,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff_Rate,Income_Tax_Rate,Corporate_Tax_Rate,Tax_Burden_rate_of_GDP,Gov't Expenditure % of GDP ,Country,Population _Millions,GDP_Billions,Top_Worst,GDP_Growth_Rate,5_Year_GDP_Growth_Rate,GDP_per_Capita,Unemployment_rate,Inflation,FDI_Inflow_Millions,Public Debt (% of GDP)
55,Ethiopia,Ethiopia,Sub-Saharan Africa,137,26,53.6,Mostly Unfree,32.6,40.9,35.1,77.2,90.4,83.3,48.6,58,60.8,60.8,35,20,12.1,35,30,12.4,17.9,Ethiopia,92.7,200.2,top,10.9,9.9,2161,5.2,9.9,"3,586.40",56.2
78,Ireland,Ireland,Europe,6,2,80.5,Free,85.8,68.4,78,76.3,77.4,89,83.1,75.3,87,86,90,70,2,41,12.5,23,27.4,Ireland,4.7,357.2,top,7.8,9.7,75538,6.4,0.3,"28,974.60",68.5
40,Côte d'Ivoire,CoeDivoire,Sub-Saharan Africa,78,5,62.4,Moderately Free,40.9,47.8,38.1,77.5,83.9,74.3,61,52.5,74.2,73.6,75,50,8.2,36,25,18.2,23.1,Côte d'Ivoire,25,96.9,top,7.8,8.6,3883,2.6,0.8,674.7,46.4
170,Turkmenistan,Turkmenistan,Asia-Pacific,164,40,48.4,Repressed,31.6,29.8,20.3,95.9,92,92.3,30,20,73.4,76,10,10,2,10,8,15.6,16.4,Turkmenistan,5.7,103.5,top,6.5,7.9,18126,3.4,8,"2,313.50",28.8
91,Laos,Laos,Asia-Pacific,110,24,57.4,Mostly Unfree,38.8,42.5,33.5,86.9,85.3,66.5,60.1,60.1,78.5,81.8,35,20,1.6,24,24,12.8,22.1,Lao P.D.R.,6.7,49.2,top,6.8,7.4,7366,0.7,0.8,813,62.8
177,Uzbekistan,Uzbekistan,Asia-Pacific,140,36,53.3,Mostly Unfree,49.8,34.3,25.2,91.3,67.4,98.7,72.5,58.7,58.9,62.6,10,10,8.7,22,7.5,18.2,33,Uzbekistan,32.1,222.6,top,5.3,7.4,6929,7.2,12.5,95.8,24.5
74,India,India,Asia-Pacific,129,31,55.2,Mostly Unfree,57.3,61.6,47.8,79.4,77.3,14.7,57.1,41.8,72.4,72.4,40,40,6.3,30.9,32.4,7.2,27.5,India,1316.9,9459,top,6.7,7.2,7183,3.5,3.6,"39,916.10",70.2
25,Burma,Burma,Asia-Pacific,139,35,53.6,Mostly Unfree,34.7,18.1,30.6,86.6,85.4,78.3,52.8,65.7,69.6,70.8,30,20,4.6,20,30,6.5,22.1,Burma,52.6,328.7,top,6.7,7.2,6244,0.8,5.1,"4,341.00",34.7
34,China,China,Asia-Pacific,100,20,58.4,Mostly Unfree,49.9,75.2,49.1,70.4,70.1,76,56.2,64.2,71.9,73,25,20,3.5,45,25,17.5,31.6,China,1390.1,23159.1,top,6.9,7.1,16660,4.7,1.6,"136,320.00",47.8
27,Cambodia,Cambodia,Asia-Pacific,105,22,57.8,Mostly Unfree,37.4,27.6,16.7,89.7,85.9,89.1,29.9,63,79.4,65.4,60,50,9.8,20,20,15,21.7,Cambodia,16,64.3,top,6.9,7.1,4012,0.2,2.9,"2,784.40",35.1
